["7bf05c29e4ba19602e5371de1082162b","2021-07-08 10:48:06"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-07-08 12:19:57"]
["39010e8dab4aa3d05f7465bcc1962848","2021-07-08 13:52:58"]
["8f022c52db514beeb96e4e38c085742d","2021-07-08 13:53:00"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-07-08 15:18:57"]
["b2ed3f9aac264cb233a03c1119fe7f13","2021-07-08 16:23:36"]
["0afbe0d1f60a1fd7cd6fc5c9604680bc","2021-07-08 16:53:29"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:55:54"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:55:55"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:55:55"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:55:56"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:55:57"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:55:57"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:55:58"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:55:59"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:55:59"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:55:59"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:56:00"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:56:00"]
["b23d4b58e2e47ff0cfded30b64cd85a3","2021-07-08 16:56:01"]
["a686376e2fdbc35966c1e93ad66c0500","2021-07-08 18:16:38"]
["a686376e2fdbc35966c1e93ad66c0500","2021-07-08 18:17:43"]
["a686376e2fdbc35966c1e93ad66c0500","2021-07-08 18:17:48"]
["a686376e2fdbc35966c1e93ad66c0500","2021-07-08 18:18:30"]
["a686376e2fdbc35966c1e93ad66c0500","2021-07-08 18:18:36"]
["a686376e2fdbc35966c1e93ad66c0500","2021-07-08 18:18:42"]
["a686376e2fdbc35966c1e93ad66c0500","2021-07-08 18:18:47"]
