["dfa9ab93faf4a5dd329584bc776e85ba","2021-08-20 00:43:43"]
["6693fd7ab5e7b9c64281726cfe49698f","2021-08-20 03:02:38"]
["04394cb18974179228668078274f8e8f","2021-08-20 03:12:18"]
["190b4d817fdd039c081a76c60554f4e4","2021-08-20 04:26:27"]
["59ac7f8c925e34873659eb4140df4fb3","2021-08-20 04:26:33"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-08-20 06:02:59"]
["816cbb68fa85316cc3d4efaa8dbd3b83","2021-08-20 06:25:11"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-08-20 06:59:06"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-08-20 07:09:51"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-08-20 07:20:20"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-08-20 07:41:39"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-08-20 08:03:17"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-08-20 09:12:34"]
["5cf061706add3e1c93450975db60253f","2021-08-20 12:18:49"]
["97be8c11c7820f6a9019778940b26abe","2021-08-20 12:18:54"]
["1598deac666097236bc85d494d36f8d9","2021-08-20 12:19:06"]
["5cf061706add3e1c93450975db60253f","2021-08-20 12:19:10"]
["df5b3a2513ba1666d74f44801ecfac98","2021-08-20 12:19:16"]
["ec748439a27fb98081792fbf88b188f1","2021-08-20 12:28:16"]
["732d1ec824a14368bccefeeed8657368","2021-08-20 12:46:56"]
["732d1ec824a14368bccefeeed8657368","2021-08-20 13:32:20"]
["1598deac666097236bc85d494d36f8d9","2021-08-20 13:32:24"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-08-20 14:59:00"]
["0d2736199b8e6b717e117bd7e3557ecf","2021-08-20 17:24:55"]
["5a010ece0d755d0d75bf3c2a0af633cd","2021-08-20 17:37:20"]
["cb0238a0eefdf7a8e9b2a0ec20f05e70","2021-08-20 18:31:57"]
["cb0238a0eefdf7a8e9b2a0ec20f05e70","2021-08-20 18:32:14"]
["190b4d817fdd039c081a76c60554f4e4","2021-08-20 19:37:09"]
["7472b97a1604ca9338d37d4a44433a38","2021-08-20 22:20:58"]
["7472b97a1604ca9338d37d4a44433a38","2021-08-20 22:20:58"]
["7472b97a1604ca9338d37d4a44433a38","2021-08-20 22:20:59"]
["7472b97a1604ca9338d37d4a44433a38","2021-08-20 22:20:59"]
["7472b97a1604ca9338d37d4a44433a38","2021-08-20 22:20:59"]
